season,team,elites,league_position,talent_position
'17-18',TOR,3,2,4
'17-18',LAC,3,18,5
'17-18',NOP,2,9,6
'17-18',MIN,2,12,7
'17-18',OKC,2,10,8
'17-18',MIL,2,16,9
'17-18',NYK,2,22,10
'17-18',POR,2,7,11
'17-18',DET,2,19,12
'17-18',WAS,2,17,13
'17-18',MIA,2,15,14
'17-18',CHO,2,20,15
'17-18',DEN,1,14,16
'17-18',PHI,1,5,17
'17-18',UTA,1,11,18
'17-18',BOS,1,4,19
'17-18',LAL,1,21,20
'17-18',MEM,1,29,21
'17-18',SAS,1,13,22
'17-18',SAC,1,25,23
'17-18',BRK,0,23,24
'17-18',DAL,0,28,25
'17-18',PHO,0,30,26
'17-18',IND,0,8,27
'17-18',ORL,0,26,28
'17-18',CHI,0,24,29
'17-18',ATL,0,27,30
'18-19',HOU,3,5,1
'18-19',GSW,3,3,2
'18-19',PHI,3,7,3
'18-19',LAL,2,20,4
'18-19',POR,2,6,5
'18-19',NOP,2,24,6
'18-19',MIL,2,1,7
'18-19',SAS,2,13,8
'18-19',OKC,2,10,9
'18-19',NYK,2,30,10
'18-19',LAC,2,12,11
'18-19',IND,2,11,12
'18-19',DET,2,16,13
'18-19',TOR,2,2,14
'18-19',CLE,2,28,15
'18-19',BOS,1,9,16
'18-19',MIN,1,21,17
'18-19',DEN,1,4,18
'18-19',MIA,1,18,19
'18-19',MEM,1,23,20
'18-19',UTA,1,8,21
'18-19',CHO,1,17,22
'18-19',DAL,1,22,23
'18-19',ORL,1,15,24
'18-19',WAS,1,25,25
'18-19',CHI,1,27,26
'18-19',ATL,1,26,27
'18-19',BRK,0,14,28
'18-19',SAC,0,19,29
'18-19',PHO,0,29,30
