UID,Player,Tm,MP,PER,Season
1,A.J. Hammons\hammoaj01,DAL,163,8.4,16-17
2,A.J. Price\priceaj01,CLE,87,7.7,14-15
2,A.J. Price\priceaj01,IND,193,17.1,14-15
2,A.J. Price\priceaj01,IND,568,11.5,11-12
2,A.J. Price\priceaj01,IND,795,10.7,10-11
2,A.J. Price\priceaj01,IND,865,14,09-10
2,A.J. Price\priceaj01,MIN,99,9.7,13-14
2,A.J. Price\priceaj01,PHO,44,-1.6,14-15
2,A.J. Price\priceaj01,WAS,1278,12.4,12-13
3,Aaron Brooks\brookaa01,CHI,1108,11.8,15-16
3,Aaron Brooks\brookaa01,CHI,1885,14.4,14-15
3,Aaron Brooks\brookaa01,DEN,841,12.9,13-14
3,Aaron Brooks\brookaa01,HOU,2919,16,09-10
3,Aaron Brooks\brookaa01,HOU,38,5.6,12-13
3,Aaron Brooks\brookaa01,HOU,716,11.9,13-14
3,Aaron Brooks\brookaa01,HOU,811,11.7,10-11
3,Aaron Brooks\brookaa01,IND,894,9.5,16-17
3,Aaron Brooks\brookaa01,MIN,189,9.8,17-18
3,Aaron Brooks\brookaa01,PHO,473,15.6,10-11
3,Aaron Brooks\brookaa01,SAC,959,12.1,12-13
4,Aaron Gordon\gordoaa01,ORL,1863,17,15-16
4,Aaron Gordon\gordoaa01,ORL,1909,16.5,17-18
4,Aaron Gordon\gordoaa01,ORL,2298,14.5,16-17
4,Aaron Gordon\gordoaa01,ORL,2633,15.1,18-19
4,Aaron Gordon\gordoaa01,ORL,797,11.4,14-15
5,Aaron Gray\grayaa01,CHI,50,7,09-10
5,Aaron Gray\grayaa01,NOH,261,18.4,09-10
5,Aaron Gray\grayaa01,NOH,531,11,10-11
5,Aaron Gray\grayaa01,SAC,335,7.9,13-14
5,Aaron Gray\grayaa01,TOR,20,5.7,13-14
5,Aaron Gray\grayaa01,TOR,513,9,12-13
5,Aaron Gray\grayaa01,TOR,813,11.1,11-12
6,Aaron Harrison\harriaa01,CHO,17,-2.2,16-17
6,Aaron Harrison\harriaa01,CHO,93,4.3,15-16
6,Aaron Harrison\harriaa01,DAL,233,5.1,17-18
7,Aaron Holiday\holidaa01,IND,646,11.9,18-19
8,Aaron Jackson\jacksaa01,HOU,35,2.4,17-18
9,Abdel Nader\naderab01,BOS,522,5.1,17-18
9,Abdel Nader\naderab01,OKC,694,8.8,18-19
10,Acie Law\lawac01,CHA,33,7.5,09-10
10,Acie Law\lawac01,CHI,135,15.4,09-10
10,Acie Law\lawac01,GSW,632,11.3,10-11
10,Acie Law\lawac01,GSW,66,21.3,09-10
10,Acie Law\lawac01,MEM,94,0.4,10-11
11,Adam Morrison\morriad01,LAL,241,7.4,09-10
12,Adonis Thomas\thomaad01,ORL,24,5.8,13-14
12,Adonis Thomas\thomaad01,PHI,13,10.1,13-14
13,Adreian Payne\paynead01,ATL,19,2.9,14-15
13,Adreian Payne\paynead01,MIN,135,14.4,16-17
13,Adreian Payne\paynead01,MIN,486,5.6,15-16
13,Adreian Payne\paynead01,MIN,720,7.8,14-15
13,Adreian Payne\paynead01,ORL,43,18.8,17-18
14,Al Harrington\harrial01,DEN,1665,12.3,10-11
14,Al Harrington\harrial01,DEN,1761,15.3,11-12
14,Al Harrington\harrial01,NYK,2195,16.8,09-10
14,Al Harrington\harrial01,ORL,119,10.3,12-13
14,Al Harrington\harrial01,WAS,511,9.7,13-14
15,Al Horford\horfoal01,ATL,2318,21.4,14-15
15,Al Horford\horfoal01,ATL,2631,19.4,15-16
15,Al Horford\horfoal01,ATL,2704,20.7,10-11
15,Al Horford\horfoal01,ATL,2756,19.8,12-13
15,Al Horford\horfoal01,ATL,2845,19.4,09-10
15,Al Horford\horfoal01,ATL,348,19,11-12
15,Al Horford\horfoal01,ATL,958,22,13-14
15,Al Horford\horfoal01,BOS,1973,20.2,18-19
15,Al Horford\horfoal01,BOS,2193,17.7,16-17
15,Al Horford\horfoal01,BOS,2277,17.6,17-18
16,Al Jefferson\jeffeal01,CHA,2553,22.7,13-14
16,Al Jefferson\jeffeal01,CHO,1096,18.2,15-16
16,Al Jefferson\jeffeal01,CHO,1992,19.7,14-15
16,Al Jefferson\jeffeal01,IND,484,20.2,17-18
16,Al Jefferson\jeffeal01,IND,931,18.9,16-17
16,Al Jefferson\jeffeal01,MIN,2463,19,09-10
16,Al Jefferson\jeffeal01,UTA,2075,22.8,11-12
16,Al Jefferson\jeffeal01,UTA,2578,20.9,12-13
16,Al Jefferson\jeffeal01,UTA,2940,20.1,10-11
17,Al Thornton\thornal01,GSW,314,11.3,10-11
17,Al Thornton\thornal01,LAC,1405,11.6,09-10
17,Al Thornton\thornal01,WAS,1069,11.8,10-11
17,Al Thornton\thornal01,WAS,674,12.1,09-10
18,Alan Anderson\anderal01,BRK,1744,10.6,14-15
18,Alan Anderson\anderal01,BRK,1773,9.5,13-14
18,Alan Anderson\anderal01,LAC,308,5,16-17
18,Alan Anderson\anderal01,TOR,1495,12.6,12-13
18,Alan Anderson\anderal01,TOR,461,8.7,11-12
18,Alan Anderson\anderal01,WAS,192,9.2,15-16
19,Alan Williams\willial03,BRK,26,32.9,18-19
19,Alan Williams\willial03,PHO,68,21.1,15-16
19,Alan Williams\willial03,PHO,70,9.3,17-18
19,Alan Williams\willial03,PHO,708,19.5,16-17
20,Alando Tucker\tuckeal02,MIN,25,6.9,09-10
20,Alando Tucker\tuckeal02,PHO,71,15.7,09-10
21,Alec Burks\burksal01,CLE,979,13.2,18-19
21,Alec Burks\burksal01,SAC,127,9,18-19
21,Alec Burks\burksal01,UTA,1059,13.1,17-18
21,Alec Burks\burksal01,UTA,1137,11.5,12-13
21,Alec Burks\burksal01,UTA,2193,15.8,13-14
21,Alec Burks\burksal01,UTA,269,12.4,18-19
21,Alec Burks\burksal01,UTA,653,11.6,16-17
21,Alec Burks\burksal01,UTA,797,14.3,15-16
21,Alec Burks\burksal01,UTA,899,13,14-15
21,Alec Burks\burksal01,UTA,939,14,11-12
22,Alec Peters\peteral01,PHO,225,10.7,17-18
23,Álex Abrines\abrinal01,OKC,1055,10.1,16-17
23,Álex Abrines\abrinal01,OKC,1134,9,17-18
23,Álex Abrines\abrinal01,OKC,588,6.3,18-19
24,Alex Caruso\carusal01,LAL,531,13.9,18-19
24,Alex Caruso\carusal01,LAL,562,8.7,17-18
25,Alex Kirk\kirkal01,CLE,14,8.5,14-15
26,Alex Len\lenal01,ATL,1544,17.2,18-19
26,Alex Len\lenal01,PHO,1395,19.4,17-18
26,Alex Len\lenal01,PHO,1518,13.5,14-15
26,Alex Len\lenal01,PHO,1560,15,16-17
26,Alex Len\lenal01,PHO,1821,12.4,15-16
26,Alex Len\lenal01,PHO,362,7.3,13-14
27,Alex Poythress\poythal01,ATL,305,12.2,18-19
27,Alex Poythress\poythal01,IND,104,7.8,17-18
27,Alex Poythress\poythal01,PHI,157,13.2,16-17
28,Alex Stepheson\stephal01,LAC,12,8.9,15-16
28,Alex Stepheson\stephal01,MEM,61,16,15-16
29,Alexey Shved\shvedal01,HOU,59,9.3,14-15
29,Alexey Shved\shvedal01,MIN,1840,11,12-13
29,Alexey Shved\shvedal01,MIN,664,10.2,13-14
29,Alexey Shved\shvedal01,NYK,423,20.5,14-15
29,Alexey Shved\shvedal01,PHI,285,20,14-15
30,Alexis Ajinça\ajincal01,CHA,30,6.3,09-10
30,Alexis Ajinça\ajincal01,DAL,75,12.8,10-11
30,Alexis Ajinça\ajincal01,NOP,584,12.9,16-17
30,Alexis Ajinça\ajincal01,NOP,861,13.8,15-16
30,Alexis Ajinça\ajincal01,NOP,951,14.6,13-14
30,Alexis Ajinça\ajincal01,NOP,957,19.9,14-15
30,Alexis Ajinça\ajincal01,TOR,265,12,10-11
31,Al-Farouq Aminu\aminual01,DAL,1366,14.4,14-15
31,Al-Farouq Aminu\aminual01,LAC,1452,9.6,10-11
31,Al-Farouq Aminu\aminual01,NOH,1477,10.6,11-12
31,Al-Farouq Aminu\aminual01,NOH,2066,13.7,12-13
31,Al-Farouq Aminu\aminual01,NOP,2045,13.2,13-14
31,Al-Farouq Aminu\aminual01,POR,1773,11.3,16-17
31,Al-Farouq Aminu\aminual01,POR,2072,12,17-18
31,Al-Farouq Aminu\aminual01,POR,2292,13.2,18-19
31,Al-Farouq Aminu\aminual01,POR,2341,12.7,15-16
32,Alfonzo McKinnie\mckinal01,GSW,1003,11.2,18-19
32,Alfonzo McKinnie\mckinal01,TOR,53,10.1,17-18
33,Alize Johnson\johnsal02,IND,64,6.3,18-19
34,Allen Crabbe\crabbal01,BRK,1133,7.7,18-19
34,Allen Crabbe\crabbal01,BRK,2197,12.3,17-18
34,Allen Crabbe\crabbal01,POR,100,7.7,13-14
34,Allen Crabbe\crabbal01,POR,2105,12.2,15-16
34,Allen Crabbe\crabbal01,POR,2254,11.6,16-17
34,Allen Crabbe\crabbal01,POR,683,8.7,14-15
35,Allen Iverson*\iversal01,MEM,67,16.9,09-10
35,Allen Iverson*\iversal01,PHI,798,13.1,09-10
36,Allonzo Trier\trieral01,NYK,1459,12.2,18-19
37,Alonzo Gee\geeal01,CLE,1020,8.6,13-14
37,Alonzo Gee\geeal01,CLE,1827,13.2,11-12
37,Alonzo Gee\geeal01,CLE,2541,10.5,12-13
37,Alonzo Gee\geeal01,CLE,973,11.1,10-11
37,Alonzo Gee\geeal01,DEN,511,14,14-15
37,Alonzo Gee\geeal01,DEN,89,3.1,16-17
37,Alonzo Gee\geeal01,NOP,1632,8.4,15-16
37,Alonzo Gee\geeal01,POR,151,9.7,14-15
37,Alonzo Gee\geeal01,SAS,18,-2.1,10-11
37,Alonzo Gee\geeal01,WAS,127,9.9,10-11
37,Alonzo Gee\geeal01,WAS,182,16.2,09-10
38,Amar'e Stoudemire\stoudam01,DAL,380,22.3,14-15
38,Amar'e Stoudemire\stoudam01,MIA,762,17.3,15-16
38,Amar'e Stoudemire\stoudam01,NYK,1466,18.8,13-14
38,Amar'e Stoudemire\stoudam01,NYK,1543,17.7,11-12
38,Amar'e Stoudemire\stoudam01,NYK,2870,22.7,10-11
38,Amar'e Stoudemire\stoudam01,NYK,682,22.1,12-13
38,Amar'e Stoudemire\stoudam01,NYK,865,19.5,14-15
38,Amar'e Stoudemire\stoudam01,PHO,2838,22.6,09-10
39,Amile Jefferson\jeffeam01,ORL,68,21.1,18-19
40,Amir Johnson\johnsam01,BOS,1608,15,16-17
40,Amir Johnson\johnsam01,BOS,1800,16,15-16
40,Amir Johnson\johnsam01,PHI,1171,14.9,17-18
40,Amir Johnson\johnsam01,PHI,529,13.1,18-19
40,Amir Johnson\johnsam01,TOR,1453,16.7,09-10
40,Amir Johnson\johnsam01,TOR,1553,14.4,11-12
40,Amir Johnson\johnsam01,TOR,1853,17.6,10-11
40,Amir Johnson\johnsam01,TOR,1979,15.4,14-15
40,Amir Johnson\johnsam01,TOR,2214,15.4,13-14
40,Amir Johnson\johnsam01,TOR,2325,17.3,12-13
41,Anderson Varejão\varejan01,CLE,1800,17,13-14
41,Anderson Varejão\varejan01,CLE,2166,15.8,09-10
41,Anderson Varejão\varejan01,CLE,310,11.2,15-16
41,Anderson Varejão\varejan01,CLE,636,17.7,14-15
41,Anderson Varejão\varejan01,CLE,785,18.9,11-12
41,Anderson Varejão\varejan01,CLE,901,21.7,12-13
41,Anderson Varejão\varejan01,CLE,994,15.2,10-11
41,Anderson Varejão\varejan01,GSW,186,11,15-16
41,Anderson Varejão\varejan01,GSW,92,9.4,16-17
42,Andray Blatche\blatcan01,BRK,1555,21.9,12-13
42,Andray Blatche\blatcan01,BRK,1618,18.8,13-14
42,Andray Blatche\blatcan01,WAS,2172,16.9,10-11
42,Andray Blatche\blatcan01,WAS,2256,17.6,09-10
42,Andray Blatche\blatcan01,WAS,626,10.6,11-12
43,Andre Dawkins\dawkian01,MIA,22,-5,14-15
44,Andre Drummond\drumman01,DET,1243,21.6,12-13
44,Andre Drummond\drumman01,DET,2409,20.9,16-17
44,Andre Drummond\drumman01,DET,2502,21.4,14-15
44,Andre Drummond\drumman01,DET,2619,22.6,13-14
44,Andre Drummond\drumman01,DET,2625,22.9,17-18
44,Andre Drummond\drumman01,DET,2647,23.4,18-19
44,Andre Drummond\drumman01,DET,2666,21.2,15-16
45,Andre Emmett\emmetan01,NJN,45,13.3,11-12
46,Andre Iguodala\iguodan01,DEN,2779,15.2,12-13
46,Andre Iguodala\iguodan01,GSW,1578,13.1,18-19
46,Andre Iguodala\iguodan01,GSW,1622,11.2,17-18
46,Andre Iguodala\iguodan01,GSW,1732,12.2,15-16
46,Andre Iguodala\iguodan01,GSW,1998,14.3,16-17
46,Andre Iguodala\iguodan01,GSW,2040,13.7,13-14
46,Andre Iguodala\iguodan01,GSW,2069,12.3,14-15
46,Andre Iguodala\iguodan01,PHI,2209,17.6,11-12
46,Andre Iguodala\iguodan01,PHI,2469,17.2,10-11
46,Andre Iguodala\iguodan01,PHI,3193,17.8,09-10
47,Andre Ingram\ingraan01,LAL,15,-11.9,18-19
47,Andre Ingram\ingraan01,LAL,64,16.3,17-18
48,Andre Miller\millean02,DEN,1809,14.8,11-12
48,Andre Miller\millean02,DEN,2151,15.7,12-13
48,Andre Miller\millean02,DEN,570,13.4,13-14
48,Andre Miller\millean02,MIN,280,13.7,15-16
48,Andre Miller\millean02,POR,2500,18.1,09-10
48,Andre Miller\millean02,POR,2650,17.8,10-11
48,Andre Miller\millean02,SAC,622,12.3,14-15
48,Andre Miller\millean02,SAS,181,12.9,15-16
48,Andre Miller\millean02,WAS,412,14.6,13-14
48,Andre Miller\millean02,WAS,631,14.3,14-15
49,Andre Roberson\roberan03,OKC,1037,10.9,17-18
49,Andre Roberson\roberan03,OKC,1286,9.1,14-15
49,Andre Roberson\roberan03,OKC,1553,10.2,15-16
49,Andre Roberson\roberan03,OKC,2376,9.6,16-17
49,Andre Roberson\roberan03,OKC,399,9,13-14
50,Andrea Bargnani\bargnan01,BRK,634,11.8,15-16
50,Andrea Bargnani\bargnan01,NYK,1257,14.5,13-14
50,Andrea Bargnani\bargnan01,NYK,785,16.6,14-15
50,Andrea Bargnani\bargnan01,TOR,1003,11.2,12-13
50,Andrea Bargnani\bargnan01,TOR,1032,17.9,11-12
50,Andrea Bargnani\bargnan01,TOR,2353,16.4,10-11
50,Andrea Bargnani\bargnan01,TOR,2799,15.5,09-10
51,Andrei Kirilenko\kirilan01,BRK,36,2.8,14-15
51,Andrei Kirilenko\kirilan01,BRK,857,12.4,13-14
51,Andrei Kirilenko\kirilan01,MIN,2034,17.6,12-13
51,Andrei Kirilenko\kirilan01,UTA,1681,18.2,09-10
51,Andrei Kirilenko\kirilan01,UTA,1999,16.6,10-11
52,Andrés Nocioni\nocioan01,PHI,56,1.8,11-12
52,Andrés Nocioni\nocioan01,PHI,931,10.1,10-11
52,Andrés Nocioni\nocioan01,SAC,1477,11.1,09-10
53,Andrew Bogut\bogutan01,CLE,1,-35.3,16-17
53,Andrew Bogut\bogutan01,DAL,582,9.4,16-17
53,Andrew Bogut\bogutan01,GSW,134,13.4,18-19
53,Andrew Bogut\bogutan01,GSW,1451,15.9,15-16
53,Andrew Bogut\bogutan01,GSW,1583,15.8,14-15
53,Andrew Bogut\bogutan01,GSW,1769,17,13-14
53,Andrew Bogut\bogutan01,GSW,786,13.8,12-13
53,Andrew Bogut\bogutan01,LAL,216,10.9,17-18
53,Andrew Bogut\bogutan01,MIL,2229,20.7,09-10
53,Andrew Bogut\bogutan01,MIL,2297,16.7,10-11
53,Andrew Bogut\bogutan01,MIL,364,14.9,11-12
54,Andrew Bynum\bynuman01,CLE,480,14.8,13-14
54,Andrew Bynum\bynuman01,IND,36,19.9,13-14
54,Andrew Bynum\bynuman01,LAL,1500,21.1,10-11
54,Andrew Bynum\bynuman01,LAL,1977,20.2,09-10
54,Andrew Bynum\bynuman01,LAL,2112,22.9,11-12
55,Andrew Goudelock\goudean01,HOU,50,12.4,15-16
55,Andrew Goudelock\goudean01,LAL,419,8.4,11-12
55,Andrew Goudelock\goudean01,LAL,6,-6.4,12-13
56,Andrew Harrison\harrian01,CLE,144,6.6,18-19
56,Andrew Harrison\harrian01,MEM,1326,12.7,17-18
56,Andrew Harrison\harrian01,MEM,1474,8.7,16-17
56,Andrew Harrison\harrian01,MEM,5,4.6,18-19
56,Andrew Harrison\harrian01,NOP,38,3.1,18-19
57,Andrew Nicholson\nichoan01,BRK,111,5,16-17
57,Andrew Nicholson\nichoan01,ORL,1174,9.9,13-14
57,Andrew Nicholson\nichoan01,ORL,1249,15.1,12-13
57,Andrew Nicholson\nichoan01,ORL,492,10.3,14-15
57,Andrew Nicholson\nichoan01,ORL,823,14.8,15-16
57,Andrew Nicholson\nichoan01,WAS,231,6.3,16-17
58,Andrew White\whitean01,ATL,209,5.8,17-18
59,Andrew Wiggins\wiggian01,MIN,2543,12.4,18-19
59,Andrew Wiggins\wiggian01,MIN,2845,16.5,15-16
59,Andrew Wiggins\wiggian01,MIN,2969,13.9,14-15
59,Andrew Wiggins\wiggian01,MIN,2979,13,17-18
59,Andrew Wiggins\wiggian01,MIN,3048,16.5,16-17
60,Andris Biedriņš\biedran01,GSW,1397,12.1,10-11
60,Andris Biedriņš\biedran01,GSW,495,7.7,12-13
60,Andris Biedriņš\biedran01,GSW,739,8.8,11-12
60,Andris Biedriņš\biedran01,GSW,763,13,09-10
60,Andris Biedriņš\biedran01,UTA,45,2.4,13-14
61,Andy Rautins\rautian01,NYK,24,-1.2,10-11
62,Anfernee Simons\simonan01,POR,141,11.1,18-19
63,Ángel Delgado\delgaan01,LAC,15,4.3,18-19
64,Antawn Jamison\jamisan01,CLE,1842,16.8,10-11
64,Antawn Jamison\jamisan01,CLE,2151,16.1,11-12
64,Antawn Jamison\jamisan01,CLE,811,16.7,09-10
64,Antawn Jamison\jamisan01,LAC,248,7.8,13-14
64,Antawn Jamison\jamisan01,LAL,1636,15.3,12-13
64,Antawn Jamison\jamisan01,WAS,1595,17.5,09-10
65,Ante Žižić\zizican01,CLE,1082,16.2,18-19
65,Ante Žižić\zizican01,CLE,214,24.2,17-18
66,Anthony Bennett\bennean01,BRK,264,14.7,16-17
66,Anthony Bennett\bennean01,CLE,663,6.9,13-14
66,Anthony Bennett\bennean01,MIN,894,11.4,14-15
66,Anthony Bennett\bennean01,TOR,84,10.4,15-16
67,Anthony Brown\brownan02,LAL,599,4.9,15-16
67,Anthony Brown\brownan02,MIN,4,41.9,17-18
67,Anthony Brown\brownan02,NOP,143,5.9,16-17
67,Anthony Brown\brownan02,ORL,16,18.5,16-17
68,Anthony Carter\cartean01,DEN,153,5.4,10-11
68,Anthony Carter\cartean01,DEN,859,10.3,09-10
68,Anthony Carter\cartean01,NYK,310,11.1,10-11
68,Anthony Carter\cartean01,TOR,209,8.7,11-12
69,Anthony Davis\davisan02,NOH,1846,21.7,12-13
69,Anthony Davis\davisan02,NOP,1850,30.3,18-19
69,Anthony Davis\davisan02,NOP,2164,25,15-16
69,Anthony Davis\davisan02,NOP,2358,26.5,13-14
69,Anthony Davis\davisan02,NOP,2455,30.8,14-15
69,Anthony Davis\davisan02,NOP,2708,27.5,16-17
69,Anthony Davis\davisan02,NOP,2727,28.9,17-18
70,Anthony Johnson\johnsan02,ORL,406,12.4,09-10
71,Anthony Morrow\morroan01,ATL,301,12.3,12-13
71,Anthony Morrow\morroan01,CHI,87,16,16-17
71,Anthony Morrow\morroan01,DAL,82,10.9,12-13
71,Anthony Morrow\morroan01,GSW,2018,14,09-10
71,Anthony Morrow\morroan01,NJN,1636,13.1,11-12
71,Anthony Morrow\morroan01,NJN,1856,12.1,10-11
71,Anthony Morrow\morroan01,NOP,1426,13.9,13-14
71,Anthony Morrow\morroan01,OKC,1806,14.8,14-15
71,Anthony Morrow\morroan01,OKC,627,9.2,16-17
71,Anthony Morrow\morroan01,OKC,926,10.7,15-16
72,Anthony Parker\parkean01,CLE,1280,10.9,11-12
72,Anthony Parker\parkean01,CLE,2091,10.5,10-11
72,Anthony Parker\parkean01,CLE,2289,9.9,09-10
73,Anthony Randolph\randoan01,DEN,329,15.6,12-13
73,Anthony Randolph\randoan01,DEN,527,12.2,13-14
73,Anthony Randolph\randoan01,GSW,749,18.7,09-10
73,Anthony Randolph\randoan01,MIN,463,18.5,10-11
73,Anthony Randolph\randoan01,MIN,517,17.6,11-12
73,Anthony Randolph\randoan01,NYK,127,7.6,10-11
74,Anthony Tolliver\tollian01,ATL,963,8.4,12-13
74,Anthony Tolliver\tollian01,CHA,1298,11,13-14
74,Anthony Tolliver\tollian01,DET,1160,11.8,14-15
74,Anthony Tolliver\tollian01,DET,1341,10.2,15-16
74,Anthony Tolliver\tollian01,DET,1757,13.9,17-18
74,Anthony Tolliver\tollian01,GSW,1423,13.7,09-10
74,Anthony Tolliver\tollian01,MIN,1079,8.6,18-19
74,Anthony Tolliver\tollian01,MIN,1362,13.3,10-11
74,Anthony Tolliver\tollian01,MIN,882,8.3,11-12
74,Anthony Tolliver\tollian01,PHO,272,7.8,14-15
74,Anthony Tolliver\tollian01,POR,4,-11.5,09-10
74,Anthony Tolliver\tollian01,SAC,1477,11.1,16-17
75,Antoine Wright\wrighan01,SAC,31,-4.8,10-11
75,Antoine Wright\wrighan01,TOR,1392,8.6,09-10
76,Antonio Anderson\anderan02,OKC,15,-1.7,09-10
77,Antonio Blakeney\blakean01,CHI,314,10.1,17-18
77,Antonio Blakeney\blakean01,CHI,829,10.6,18-19
78,Antonio Daniels\daniean01,PHI,35,6.7,10-11
79,Antonio McDyess\mcdyean01,SAS,1387,12.8,10-11
79,Antonio McDyess\mcdyean01,SAS,1617,12.2,09-10
80,Antonius Cleveland\clevean01,ATL,42,3.5,17-18
80,Antonius Cleveland\clevean01,DAL,81,5.1,17-18
81,Archie Goodwin\goodwar01,BRK,184,18.6,16-17
81,Archie Goodwin\goodwar01,NOP,30,19.7,16-17
81,Archie Goodwin\goodwar01,PHO,1114,11.1,15-16
81,Archie Goodwin\goodwar01,PHO,533,10.3,13-14
81,Archie Goodwin\goodwar01,PHO,535,11.2,14-15
82,Arinze Onuaku\onuakar01,CLE,5,-5.3,13-14
82,Arinze Onuaku\onuakar01,MIN,68,22.8,14-15
82,Arinze Onuaku\onuakar01,NOP,25,5.6,13-14
82,Arinze Onuaku\onuakar01,ORL,28,5.8,16-17
83,Armon Johnson\johnsar02,NJN,119,12.5,11-12
83,Armon Johnson\johnsar02,POR,277,9.3,10-11
83,Armon Johnson\johnsar02,POR,5,20.7,11-12
84,Arnett Moultrie\moultar01,PHI,187,6.7,13-14
84,Arnett Moultrie\moultar01,PHI,542,16.7,12-13
85,Aron Baynes\baynear01,BOS,1485,12,17-18
85,Aron Baynes\baynear01,BOS,821,14,18-19
85,Aron Baynes\baynear01,DET,1163,13.1,16-17
85,Aron Baynes\baynear01,DET,1233,17.8,15-16
85,Aron Baynes\baynear01,SAS,1122,15.9,14-15
85,Aron Baynes\baynear01,SAS,141,8.8,12-13
85,Aron Baynes\baynear01,SAS,491,9.7,13-14
86,Arron Afflalo\afflaar01,DEN,1750,11.7,14-15
86,Arron Afflalo\afflaar01,DEN,2086,14.7,11-12
86,Arron Afflalo\afflaar01,DEN,2221,10.9,09-10
86,Arron Afflalo\afflaar01,DEN,2324,13.6,10-11
86,Arron Afflalo\afflaar01,NYK,2371,10.9,15-16
86,Arron Afflalo\afflaar01,ORL,2307,13,12-13
86,Arron Afflalo\afflaar01,ORL,2552,16,13-14
86,Arron Afflalo\afflaar01,ORL,682,5.8,17-18
86,Arron Afflalo\afflaar01,POR,752,8.2,14-15
86,Arron Afflalo\afflaar01,SAC,1580,8.9,16-17
87,Austin Daye\dayeau01,ATL,76,12.1,14-15
87,Austin Daye\dayeau01,DET,1446,13,10-11
87,Austin Daye\dayeau01,DET,348,12.6,12-13
87,Austin Daye\dayeau01,DET,603,7.1,11-12
87,Austin Daye\dayeau01,DET,915,12.8,09-10
87,Austin Daye\dayeau01,MEM,328,13.3,12-13
87,Austin Daye\dayeau01,SAS,115,13.5,13-14
87,Austin Daye\dayeau01,SAS,268,7.1,14-15
87,Austin Daye\dayeau01,TOR,33,2.4,13-14
88,Austin Rivers\riverau01,HOU,1345,8.2,18-19
88,Austin Rivers\riverau01,LAC,1464,11.1,15-16
88,Austin Rivers\riverau01,LAC,2054,11.4,16-17
88,Austin Rivers\riverau01,LAC,2057,12.6,17-18
88,Austin Rivers\riverau01,LAC,791,10.6,14-15
88,Austin Rivers\riverau01,NOH,1418,5.9,12-13
88,Austin Rivers\riverau01,NOP,1339,11.6,13-14
88,Austin Rivers\riverau01,NOP,772,10.1,14-15
88,Austin Rivers\riverau01,WAS,683,6.8,18-19
89,Avery Bradley\bradlav01,BOS,1368,11.3,11-12
89,Avery Bradley\bradlav01,BOS,1435,8.8,12-13
89,Avery Bradley\bradlav01,BOS,162,2.2,10-11
89,Avery Bradley\bradlav01,BOS,1835,14.4,16-17
89,Avery Bradley\bradlav01,BOS,1855,12.7,13-14
89,Avery Bradley\bradlav01,BOS,2428,11.5,14-15
89,Avery Bradley\bradlav01,BOS,2536,13.2,15-16
89,Avery Bradley\bradlav01,DET,1268,9.7,17-18
89,Avery Bradley\bradlav01,LAC,1463,5.5,18-19
89,Avery Bradley\bradlav01,LAC,165,9,17-18
89,Avery Bradley\bradlav01,MEM,442,14.5,18-19
90,Axel Toupane\toupaax01,DEN,305,7.1,15-16
90,Axel Toupane\toupaax01,MIL,6,-9.9,16-17
90,Axel Toupane\toupaax01,NOP,41,8.6,16-17
91,B.J. Johnson\johnsbj01,ATL,43,14,18-19
91,B.J. Johnson\johnsbj01,SAC,6,3.7,18-19
92,Bam Adebayo\adebaba01,MIA,1368,15.7,17-18
92,Bam Adebayo\adebaba01,MIA,1913,17.9,18-19
93,Baron Davis\davisba01,CLE,380,19.3,10-11
93,Baron Davis\davisba01,LAC,1269,16.3,10-11
93,Baron Davis\davisba01,LAC,2523,17.4,09-10
93,Baron Davis\davisba01,NYK,595,10,11-12
94,Ben Bentil\bentibe01,DAL,10,-17.6,16-17
95,Ben Gordon\gordobe01,CHA,1560,12.7,12-13
95,Ben Gordon\gordobe01,CHA,279,6.4,13-14
95,Ben Gordon\gordobe01,DET,1398,13.5,11-12
95,Ben Gordon\gordobe01,DET,1730,14,09-10
95,Ben Gordon\gordobe01,DET,2131,12.4,10-11
95,Ben Gordon\gordobe01,ORL,790,10.6,14-15
96,Ben Hansbrough\hansbbe01,IND,200,7.2,12-13
97,Ben McLemore\mclembe01,MEM,1091,9.7,17-18
97,Ben McLemore\mclembe01,SAC,1176,9.8,16-17
97,Ben McLemore\mclembe01,SAC,1443,8.6,15-16
97,Ben McLemore\mclembe01,SAC,158,10.5,18-19
97,Ben McLemore\mclembe01,SAC,2187,7.7,13-14
97,Ben McLemore\mclembe01,SAC,2670,10.4,14-15
98,Ben Moore\moorebe01,IND,9,-2.3,17-18
99,Ben Simmons\simmobe01,PHI,2700,20,18-19
99,Ben Simmons\simmobe01,PHI,2732,20,17-18
100,Ben Uzoh\uzohbe01,CLE,13,21,11-12
100,Ben Uzoh\uzohbe01,NJN,438,14.7,10-11
100,Ben Uzoh\uzohbe01,TOR,357,10.5,11-12
101,Ben Wallace\wallabe01,DET,1238,12.3,10-11
101,Ben Wallace\wallabe01,DET,1975,15.8,09-10
101,Ben Wallace\wallabe01,DET,980,10.7,11-12
102,Beno Udrih\udrihbe01,DET,560,16.2,16-17
102,Beno Udrih\udrihbe01,MEM,120,12.6,15-16
102,Beno Udrih\udrihbe01,MEM,1494,15.4,14-15
102,Beno Udrih\udrihbe01,MEM,55,16,13-14
102,Beno Udrih\udrihbe01,MIA,587,8.9,15-16
102,Beno Udrih\udrihbe01,MIL,1080,13.1,11-12
